,상호명,지점명,대분류,중분류,소분류,시도명,시군구명,행정동명,법정동명,지번주소,경도,위도
43526,CU,신대방덕우점,소매,종합소매점,편의점,서울특별시,동작구,신대방2동,신대방동,서울특별시 동작구 신대방동 361-37,126.92392603521799,37.4982494592467
43533,세븐일레븐,롯데월드몰명품점,소매,종합소매점,편의점,서울특별시,송파구,잠실6동,신천동,서울특별시 송파구 신천동 29,127.10428390105,37.513631012952104
43668,CU,시티은행사옥점,소매,종합소매점,편의점,서울특별시,종로구,사직동,신문로2가,서울특별시 종로구 신문로2가 89-29,126.970679788342,37.5689476727236
43744,세븐일레븐,청담7호점,소매,종합소매점,편의점,서울특별시,강남구,청담동,청담동,서울특별시 강남구 청담동 58-12,127.05094680234899,37.523657706678904
43851,코리아세븐상명대,제1점,소매,종합소매점,편의점,서울특별시,종로구,부암동,홍지동,서울특별시 종로구 홍지동 20-1,126.955545678422,37.6013151511705
43890,CU,회기현대점,소매,종합소매점,편의점,서울특별시,동대문구,회기동,회기동,서울특별시 동대문구 회기동 65-73,127.052831736018,37.589278156377894
44050,코리아세븐서대문,문화회관점,소매,종합소매점,편의점,서울특별시,서대문구,홍은2동,홍은동,서울특별시 서대문구 홍은동 280,126.933196290241,37.5802833245149
44152,세븐일레븐연신내3호점,연신내3호점,소매,종합소매점,편의점,서울특별시,은평구,갈현1동,갈현동,서울특별시 은평구 갈현동 431-5,126.917784292383,37.6195992196458
44256,위드미,신세계영등포점,소매,종합소매점,편의점,서울특별시,영등포구,영등포동,영등포동4가,서울특별시 영등포구 영등포동4가 434-5,126.90555490850001,37.517182828821994
44394,로또편의점,,소매,종합소매점,편의점,서울특별시,중구,신당동,무학동,서울특별시 중구 무학동 1,127.01592114651001,37.564990437218796
44467,미니스톱마곡엠밸리점,마곡엠밸리점,소매,종합소매점,편의점,서울특별시,강서구,가양1동,마곡동,서울특별시 강서구 마곡동 743,126.819501927605,37.5654243062359
44524,미니스톱,포이영광점,소매,종합소매점,편의점,서울특별시,강남구,개포4동,개포동,서울특별시 강남구 개포동 1192-4,127.049598536897,37.4738454668069
44580,레몬비,목동점,소매,종합소매점,편의점,서울특별시,양천구,목4동,목동,서울특별시 양천구 목동 745-9,126.868152393527,37.538473264391605
44910,CU상도역점,상도역점,소매,종합소매점,편의점,서울특별시,동작구,상도1동,상도1동,서울특별시 동작구 상도1동 702-1,126.947685056343,37.503203016813295
45108,미니스톱,반포삼공점,소매,종합소매점,편의점,서울특별시,서초구,반포4동,반포동,서울특별시 서초구 반포동 58-7,127.009893983384,37.5037678599196
45248,코리아세븐대방,성남점,소매,종합소매점,편의점,서울특별시,동작구,대방동,대방동,서울특별시 동작구 대방동 376-5,126.925171626132,37.5044509932136
45374,미니스톱,압구정가은점,소매,종합소매점,편의점,서울특별시,강남구,압구정동,신사동,서울특별시 강남구 신사동 655-15,127.037966376151,37.524868221529005
45576,미니스톱,고대원룸점,소매,종합소매점,편의점,서울특별시,성북구,종암동,종암동,서울특별시 성북구 종암동 24-20,127.034888564545,37.5933586909143
45583,CU,가양사거리점,소매,종합소매점,편의점,서울특별시,강서구,가양1동,가양동,서울특별시 강서구 가양동 150-27,126.84159201045401,37.5686796087483
45644,개그스토리마트,광진군자1호점,소매,종합소매점,편의점,서울특별시,광진구,군자동,군자동,서울특별시 광진구 군자동 469-10,127.07604925446199,37.5567902119931
45734,미니스톱,가산월드점,소매,종합소매점,편의점,서울특별시,금천구,가산동,가산동,서울특별시 금천구 가산동 426-5,126.878698539315,37.4787176322481
46004,굿타임24,남영점,소매,종합소매점,편의점,서울특별시,용산구,원효로1동,원효로1가,서울특별시 용산구 원효로1가 112-4,126.970431509303,37.5409230826699
46043,세븐일레븐,성바오로병원점,소매,종합소매점,편의점,서울특별시,동대문구,전농1동,전농동,서울특별시 동대문구 전농동 620-56,127.04347135868099,37.579246142111
46054,미소병원편의점,,소매,종합소매점,편의점,서울특별시,송파구,거여2동,거여동,서울특별시 송파구 거여동 37,127.145860830079,37.4932145597635
46140,코리아세븐신도림,코리아점,소매,종합소매점,편의점,서울특별시,구로구,신도림동,신도림동,서울특별시 구로구 신도림동 413-9,126.88394240739599,37.505465255199596
46227,탱큐21,,소매,종합소매점,편의점,서울특별시,중구,신당동,신당동,서울특별시 중구 신당동 249-68,127.01408333321599,37.5652994796383
46250,코리아세븐영등포우체국점,,소매,종합소매점,편의점,서울특별시,영등포구,영등포동,영등포동4가,서울특별시 영등포구 영등포동4가 432-14,126.906159758204,37.5168190043624
46344,광나루편의정,,소매,종합소매점,편의점,서울특별시,광진구,광장동,광장동,서울특별시 광진구 광장동 244-6,127.10489096646201,37.546136689933206
46489,미니스톱,수유신성점,소매,종합소매점,편의점,서울특별시,강북구,수유1동,수유동,서울특별시 강북구 수유동 50-1,127.021735872612,37.6335808489935
46516,세븐일레븐,중앙대도서관점,소매,종합소매점,편의점,서울특별시,동작구,흑석동,흑석동,서울특별시 동작구 흑석동 221,126.953838046904,37.5047984647821
46583,세븐일레븐방이본점,방이본점,소매,종합소매점,편의점,서울특별시,송파구,방이1동,방이동,서울특별시 송파구 방이동 162-15,127.12033168860201,37.5110394309025
46609,미니스톱,M안국역점,소매,종합소매점,편의점,서울특별시,종로구,삼청동,안국동,서울특별시 종로구 안국동 148,126.98511093463999,37.576587300092605
46787,365플러스편의점,구로행운점,소매,종합소매점,편의점,서울특별시,구로구,구로4동,구로동,서울특별시 구로구 구로동 744-51,126.88610364894801,37.4878882514536
46803,세븐일레븐,당인동점,소매,종합소매점,편의점,서울특별시,마포구,서강동,당인동,서울특별시 마포구 당인동 12-1,126.919914085119,37.5474909173663
46841,코리아세븐상암월드컵단지점,,소매,종합소매점,편의점,서울특별시,마포구,상암동,상암동,서울특별시 마포구 상암동 1689,126.88524271139,37.5799663374567
47189,CU,강서태양점,소매,종합소매점,편의점,서울특별시,강서구,화곡2동,화곡동,서울특별시 강서구 화곡동 161-2,126.853607008898,37.5351252591254
47221,코리아세븐은평응암점,응암점,소매,종합소매점,편의점,서울특별시,은평구,응암1동,응암동,서울특별시 은평구 응암동 111-42,126.917896942722,37.599318054801294
47273,CU,성북동선점,소매,종합소매점,편의점,서울특별시,성북구,동선동,동선동2가,서울특별시 성북구 동선동2가 172,127.019799582418,37.5894860146445
47292,코리아세븐역삼코넬점,,소매,종합소매점,편의점,서울특별시,강남구,역삼1동,역삼동,서울특별시 강남구 역삼동 673-24,127.039604080956,37.503896012933005
47303,CU,용답로데오점,소매,종합소매점,편의점,서울특별시,성동구,용답동,용답동,서울특별시 성동구 용답동 57-13,127.052913542061,37.564049548232
47377,코리아세븐창동,태영점,소매,종합소매점,편의점,서울특별시,도봉구,창2동,창동,서울특별시 도봉구 창동 819,127.03292970062701,37.6431970666606
