,상호명,지점명,대분류,중분류,소분류,시도명,시군구명,행정동명,법정동명,지번주소,경도,위도
13104,대우수퍼,,소매,종합소매점,수퍼마켓,서울특별시,성동구,금호4가동,금호동4가,서울특별시 성동구 금호동4가 800,127.017911204956,37.5453191541497
13203,세광슈퍼,,소매,종합소매점,수퍼마켓,서울특별시,금천구,독산1동,독산동,서울특별시 금천구 독산동 1007-1,126.895096445309,37.4661673284306
13340,진로할인마트,,소매,종합소매점,수퍼마켓,서울특별시,은평구,갈현2동,갈현동,서울특별시 은평구 갈현동 469-1,126.91427797909799,37.6130075160321
13341,하모니마트,,소매,종합소매점,수퍼마켓,서울특별시,서초구,양재1동,양재동,서울특별시 서초구 양재동 6-1,127.040818952345,37.4823075517234
13420,코사마트,뉴타운점,소매,종합소매점,수퍼마켓,서울특별시,성동구,행당1동,행당동,서울특별시 성동구 행당동 299-1,127.031995594179,37.560546019491504
13636,대화마트,,소매,종합소매점,수퍼마켓,서울특별시,금천구,독산1동,독산동,서울특별시 금천구 독산동 296-16,126.89689592561199,37.4714102297919
13672,수협바다마트,상계점,소매,종합소매점,수퍼마켓,서울특별시,노원구,중계4동,중계동,서울특별시 노원구 중계동 591,127.073266115542,37.6598475788814
13733,롯데쇼핑롯데슈퍼내,,소매,종합소매점,수퍼마켓,서울특별시,송파구,잠실3동,잠실동,서울특별시 송파구 잠실동 35,127.090269078215,37.5080094298205
14242,홈플러스익스프레스,서초점,소매,종합소매점,수퍼마켓,서울특별시,서초구,서초4동,서초동,서울특별시 서초구 서초동 1685-3,127.013720064845,37.497501501602
14256,롯데쇼핑,롯데슈퍼점,소매,종합소매점,수퍼마켓,서울특별시,서대문구,홍은2동,홍은동,서울특별시 서대문구 홍은동 277-98,126.935843357915,37.582028197209794
14375,남산마트,,소매,종합소매점,수퍼마켓,서울특별시,중구,명동,남산동1가,서울특별시 중구 남산동1가 14-5,126.984516088773,37.558696505902
14409,제이씨마트,,소매,종합소매점,수퍼마켓,서울특별시,강남구,대치1동,대치동,서울특별시 강남구 대치동 626,127.05914706933399,37.4931595049826
14628,대흥슈퍼,,소매,종합소매점,수퍼마켓,서울특별시,금천구,시흥4동,시흥동,서울특별시 금천구 시흥동 817-35,126.90723124858,37.4557108372436
15294,롯데쇼핑롯데슈퍼점,롯데슈퍼점,소매,종합소매점,수퍼마켓,서울특별시,강서구,발산1동,내발산동,서울특별시 강서구 내발산동 689-1,126.830598815534,37.5528572445761
15371,롯데쇼핑롯데수퍼,상도3동점,소매,종합소매점,수퍼마켓,서울특별시,동작구,상도3동,상도동,서울특별시 동작구 상도동 188-14,126.93578744790199,37.5031685103018
15384,롯데슈퍼,목동점,소매,종합소매점,수퍼마켓,서울특별시,양천구,신정4동,신정동,서울특별시 양천구 신정동 899-7,126.863712457563,37.528320981918895
15455,종점수퍼,,소매,종합소매점,수퍼마켓,서울특별시,노원구,중계본동,중계동,서울특별시 노원구 중계동 27-25,127.08350872562299,37.6444297883669
15643,감사원매점,,소매,종합소매점,수퍼마켓,서울특별시,종로구,삼청동,삼청동,서울특별시 종로구 삼청동 25-23,126.984435602227,37.5871326658755
15660,녹천매점,,소매,종합소매점,수퍼마켓,서울특별시,노원구,월계2동,월계동,서울특별시 노원구 월계동 748-10,127.05144067499201,37.6435365715132
15838,롯데쇼핑롯데Market역촌2점,,소매,종합소매점,수퍼마켓,서울특별시,은평구,역촌동,역촌동,서울특별시 은평구 역촌동 74-2,126.908301658232,37.6049782634772
15947,알뜰슈퍼,,소매,종합소매점,수퍼마켓,서울특별시,성북구,월곡1동,하월곡동,서울특별시 성북구 하월곡동 90-1490,127.033775553775,37.606748054857796
16013,대농슈퍼,,소매,종합소매점,수퍼마켓,서울특별시,노원구,중계본동,중계동,서울특별시 노원구 중계동 579,127.081385232154,37.649396004694
16158,우리슈퍼,,소매,종합소매점,수퍼마켓,서울특별시,노원구,월계2동,월계동,서울특별시 노원구 월계동 600,127.05619859928998,37.6293023139357
16357,신월마트,,소매,종합소매점,수퍼마켓,서울특별시,양천구,신월5동,신월동,서울특별시 양천구 신월동 80-1,126.82873259917801,37.5368724412934
16522,영락식품,,소매,종합소매점,수퍼마켓,서울특별시,중구,필동,충무로3가,서울특별시 중구 충무로3가 24-16,126.990467604114,37.563036511118604
16565,동신마트,,소매,종합소매점,수퍼마켓,서울특별시,강서구,가양1동,가양동,서울특별시 강서구 가양동 1459,126.842265164572,37.5712631593585
16602,서교수퍼,,소매,종합소매점,수퍼마켓,서울특별시,마포구,서교동,서교동,서울특별시 마포구 서교동 395-68,126.91721073747601,37.5497457875972
16634,롯데마트나들가게,,소매,종합소매점,수퍼마켓,서울특별시,강서구,화곡6동,화곡동,서울특별시 강서구 화곡동 1100-10,126.84927055458,37.554455326632294
16651,KS할인마트,,소매,종합소매점,수퍼마켓,서울특별시,강남구,역삼1동,역삼동,서울특별시 강남구 역삼동 826-30,127.03033963769899,37.49613432667179
16734,성전슈퍼,,소매,종합소매점,수퍼마켓,서울특별시,구로구,구로4동,구로동,서울특별시 구로구 구로동 139-5,126.89007151830299,37.4925479630178
16784,현대마트,,소매,종합소매점,수퍼마켓,서울특별시,마포구,성산1동,성산동,서울특별시 마포구 성산동 244-9,126.911927546583,37.5589598929679
16832,웅이네할인마트,,소매,종합소매점,수퍼마켓,서울특별시,송파구,송파2동,송파동,서울특별시 송파구 송파동 103-33,127.112838434769,37.502873852791204
16845,수방사통신단마트,,소매,종합소매점,수퍼마켓,서울특별시,관악구,남현동,남현동,서울특별시 관악구 남현동 산100-14,126.987256235772,37.4665336035466
17222,신세계마트,,소매,종합소매점,수퍼마켓,서울특별시,구로구,신도림동,신도림동,서울특별시 구로구 신도림동 402-3,126.877537930819,37.505656860436
17230,싱싱할인마트,,소매,종합소매점,수퍼마켓,서울특별시,광진구,중곡2동,중곡동,서울특별시 광진구 중곡동 150-232,127.08486144891701,37.5599494450469
17250,슈퍼문방구,,소매,종합소매점,수퍼마켓,서울특별시,강동구,길동,길동,서울특별시 강동구 길동 375-11,127.13784324111299,37.5394077152275
17252,강일할인마트,,소매,종합소매점,수퍼마켓,서울특별시,강동구,강일동,상일동,서울특별시 강동구 상일동 490,127.174770207328,37.5513582588433
17301,하나로마트쇼핑,,소매,종합소매점,수퍼마켓,서울특별시,광진구,중곡2동,중곡동,서울특별시 광진구 중곡동 341-18,127.081238942214,37.5572271721526
17382,은마알뜰장,,소매,종합소매점,수퍼마켓,서울특별시,강남구,대치2동,대치동,서울특별시 강남구 대치동 991-1,127.063884759838,37.4995495995986
17537,그린마트,,소매,종합소매점,수퍼마켓,서울특별시,중랑구,신내2동,신내동,서울특별시 중랑구 신내동 661,127.09397247692301,37.606702952276294
17556,파워할인마트,월계점,소매,종합소매점,수퍼마켓,서울특별시,노원구,월계3동,월계동,서울특별시 노원구 월계동 17,127.066818389436,37.622610972751296
17648,우림슈퍼,,소매,종합소매점,수퍼마켓,서울특별시,노원구,상계1동,상계동,서울특별시 노원구 상계동 1090-20,127.05145879764099,37.674180841529605
17661,성수슈퍼,,소매,종합소매점,수퍼마켓,서울특별시,노원구,공릉2동,공릉동,서울특별시 노원구 공릉동 409-1,127.077648429375,37.6253361715303
17703,한국유통슈퍼센터,,소매,종합소매점,수퍼마켓,서울특별시,도봉구,도봉2동,도봉동,서울특별시 도봉구 도봉동 63,127.04839425617399,37.683355667288396
